"Name","RA_Hours","Dec_Degrees","pm_ra","pm_dec","Visual Magnitude"
"NGC 2420 (Open Cluster - OC - NGC 2420)","7.640167","21.573889","-1.2","-2.1","8.3"
"NGC 2421 (Open Cluster - OC - NGC 2421)","7.603400","-20.625800","0","0","8.3"
"NGC 2422 (Messier 47 - OC - Messier M47)","7.611000","-14.485000","0","0","4.4"
"NGC 2423 (Open Cluster - OC - NGC 2423)","7.618000","-13.865000","0","0","6.7"
"NGC 2437 (Messier 46 - OC - Messier M46)","7.695000","-14.815000","0","0","6.1"
"NGC 2438 (Planetary Nebula - PN - NGC 2438)","7.697367","-14.735408","-5.6","1.5","10.8"
"NGC 2439 (Open Cluster - OC - NGC 2439)","7.675000","-31.685000","0","0","6.9"
"NGC 2440 (Planetary Nebula - PN - NGC 2440)","7.698707","-18.208448","0","0","9.4"
"NGC 2442 (Meathook Galaxy - G-S - NGC 2442)","7.606603","-69.530833","0","0","10.6"
"NGC 2447 (Messier 93 - OC - Messier M93)","7.742000","-23.851000","0","0","6.2"
"NGC 2451 (Open Cluster - OC - NGC 2451)","7.755000","-37.965000","0","0","9.5"
"NGC 2467 (Skull and Crossbones - EN+OC - NGC 2467)","7.871000","-26.385000","0","0"
"NGC 2477 (Open Cluster - OC - Caldwell C71)","7.869833","-38.546389","-2.4","0.9","5.8"
"NGC 2482 (Open Cluster - OC - NGC 2482)","7.919400","-24.277500","0","0","7.3"
"NGC 2506 (Open Cluster - OC - Caldwell C54)","8.000639","-10.772778","-2.6","3.9","3.8"
"NGC 2509 (Open Cluster - OC - NGC 2509)","8.013444","-19.057778","-2.7","0.8","9.3"
"NGC 2516 (Southern Beehive - OC - Caldwell C96)","7.965000","-60.865000","0","0","3.8"
"NGC 2525 (Galaxy - G-S - NGC 2525)","8.085000","-11.415000","0","0","11.5"
"NGC 2527 (Open Cluster - OC - NGC 2527)","8.085000","-28.151000","0","0"
"NGC 2539 (Open Cluster - OC - NGC 2539)","8.177528","-12.831111","-2.3","-0.6","6.5"
"NGC 2541 (Galaxy - G-S - NGC 2541)","8.244477","49.061673","-4.4","1.5","11.7"
"NGC 2546 (Open Cluster - OC - NGC 2546)","8.202000","-37.615000","0","0","6.3"
"NGC 2547 (Open Cluster - OC - NGC 2547)","8.172000","-49.201000","0","0","4.7"
"NGC 2548 (Messier 48 - OC - Messier M48)","8.231000","-5.751000","0","0","5.5"
"NGC 2567 (Open Cluster - OC - NGC 2567)","8.315000","-30.635000","0","0","7.4"
"NGC 2571 (Open Cluster - OC - NGC 2571)","8.311000","-29.735000","0","0","7.0"
"NGC 2610 (Planetary Nebula - PN - NGC 2610)","8.556507","-16.149388","-6.5","5.8","12.7"
"NGC 2613 (Galaxy - G-S - NGC 2613)","8.556345","-22.973669","0","0","10.4"
"NGC 2627 (Open Cluster - OC - NGC 2627)","8.620528","-29.951111","-2.4","2.9","8.4"
"NGC 2632 (Messier 44 - Beehive Cluster - OC - Messier M44)","8.668000","19.665000","0","0","3.7"
